"","Feature_chr","Feature_start","Feature_end","Feature_gene_biotype","Feature_gene_name","PBS_2","PBS_3","PBS_4","PBS_5","FPAS_2","FPAS_3","FPAS_4","FPAS_5","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange","baseMean_PBS","baseMean_FPAS","DE_status"
"ENSMUSG00000050623.5","chr19",6922371,6925380,"protein_coding","Catsperz",0,0,0,67,0,32,0,67,22.9018551404425,0.896891387961609,3.02260798676267,0.296727657668308,0.766674439747643,NA,1.86204945161395,16.006713525057,29.7969967558281,"NS"
"ENSMUSG00000040649.15","chr6",122447296,122498761,"protein_coding","Rimklb",0,16,71,0,0,46,0,0,14.2987580571473,-0.952519134438321,3.21340743541356,-0.29642028083368,0.766909139031928,NA,0.516729396531468,18.874726949857,9.72278916443754,"NS"
"ENSMUSG00000053819.16","chr3",126596302,126846326,"protein_coding","Camk2d",1805,2555,2276,2183,1782,2344,1524,991,1831.37383613701,-0.0579202270860908,0.195480224177053,-0.296297118186393,0.767003186555545,0.932839867960808,0.960647980910172,1868.49851458105,1794.24915769296,"NS"
"ENSMUSG00000021789.14","chr14",41131782,41136452,"protein_coding","Sftpa1",108,0,0,81,81,0,0,0,32.8913052427931,-0.83542575418133,2.82003344801301,-0.296246753658178,0.767041646113225,NA,0.56041762958782,42.1566496133026,23.6259608722836,"NS"
"ENSMUSG00000020415.16","chr11",43420250,43426251,"protein_coding","Pttg1",22,58,0,0,0,0,97,0,21.3962252186395,0.90453797222711,3.05402662450469,0.29617881028585,0.767093530205679,NA,1.87194490242809,14.892114294596,27.9003361426831,"NS"
"ENSMUSG00000026939.12","chr2",25620067,25622005,"protein_coding","Tmem141",83,137,74,253,238,158,0,133,133.718436240803,0.321200272424428,1.08460956007616,0.296143685476896,0.767120353228884,NA,1.24936954893074,118.898861562768,148.538010918838,"NS"
"ENSMUSG00000020231.15","chr10",76259429,76345291,"protein_coding","Dip2a",890,1302,1159,1015,558,1544,1062,524,948.559607214582,0.0805179928015766,0.271892558832046,0.296139008538716,0.767123924788829,0.932839867960808,1.05739762600807,922.408358792546,974.710855636619,"NS"
"ENSMUSG00000037548.15","chr17",34143307,34151555,"protein_coding","H2-DMb2",74,49,97,0,56,38,0,121,56.0853100839284,0.512542820131351,1.73111326139648,0.296076999443634,0.767171278715335,NA,1.42656236654371,46.2072696689358,65.9633504989211,"NS"
"ENSMUSG00000044155.11","chr6",18848579,18855751,"protein_coding","Lsm8",129,109,76,274,109,125,155,0,115.965627942646,-0.328064256205328,1.10841680380378,-0.295975534726198,0.767248765236295,NA,0.796604615516459,129.13466210149,102.796593783801,"NS"
"ENSMUSG00000021038.17","chr12",87238868,87266256,"protein_coding","Vipas39",523,506,345,595,180,690,536,297,437.288188919745,0.115310569893232,0.389850137903358,0.295781785568629,0.767396733952638,0.932869111876993,1.08320820335854,419.958561322108,454.617816517382,"NS"
"ENSMUSG00000050022.16","chr5",140724127,140761439,"protein_coding","Amz1",108,131,58,17,160,0,70,49,73.383813103453,0.405078966824578,1.36967601867386,0.295748017269646,0.767422524103547,NA,1.324161387222,63.1195363920681,83.6480898148378,"NS"
"ENSMUSG00000039883.5","chr5",21543559,21575904,"protein_coding","Lrrc17",341,403,136,255,105,23,257,273,219.0620246172,-0.210327942786193,0.71122390265873,-0.295726763400295,0.767438756634483,NA,0.864340733420845,234.862726288215,203.261322946186,"NS"
"ENSMUSG00000019804.12","chr10",42502030,42535381,"protein_coding","Snx3",724,949,1057,632,568,417,881,739,735.853801699606,0.0987099493744897,0.333859323985567,0.295663299727872,0.767487227287662,0.932869111876993,1.07081551647352,710.436864983872,761.270738415341,"NS"
"ENSMUSG00000029715.5","chr5",137501438,137502518,"protein_coding","Pop7",119,88,45,27,96,76,110,0,66.5003953683324,0.402076385492326,1.36005819427582,0.295631751041665,0.767511323071102,NA,1.32140836760712,57.2963568550985,75.7044338815662,"NS"
"ENSMUSG00000033576.12","chr15",77044729,77057106,"protein_coding","Apol6",541,474,567,302,27,695,504,152,375.140248960208,-0.177303454114208,0.599769931013623,-0.29561911150591,0.767520976769633,NA,0.884354402109401,398.285130166338,351.995367754079,"NS"
"ENSMUSG00000024325.8","chr17",34020792,34024680,"protein_coding","Ring1",616,698,567,672,340,421,516,502,525.621050166961,-0.0915135496397259,0.309606273475466,-0.295580411250865,0.767550535088666,0.932869111876993,0.938537600854535,542.090470437304,509.151629896618,"NS"
"ENSMUSG00000040701.16","chr14",55098575,55106593,"protein_coding","Ap1g2",342,362,209,228,386,338,0,368,274.210450504703,0.384399154286071,1.30094530361051,0.295476799231488,0.767629673108052,NA,1.30531604300625,237.880269917916,310.540631091489,"NS"
"ENSMUSG00000054675.5","chr5",113793729,113800516,"protein_coding","Tmem119",129,484,168,444,123,102,366,186,241.722668191897,-0.181050273154435,0.612741157914002,-0.295475945782387,0.767630324975609,NA,0.882060627763739,256.792976678962,226.652359704832,"NS"
"ENSMUSG00000046652.3","chr6",42400238,42401119,"protein_coding","Tas2r143",0,54,16,30,39,0,0,0,15.8495272882169,-0.83795286035209,2.83757214405578,-0.295306275157605,0.76775992328624,NA,0.559436829657654,20.3235919342231,11.3754626422106,"NS"
"ENSMUSG00000054312.6","chr3",95862634,95871519,"protein_coding","Mrps21",453,392,574,364,164,685,391,123,364.490233784911,-0.133678474611686,0.452715720933804,-0.295281273501948,0.767779020672673,NA,0.911504399898392,381.610889383833,347.369578185989,"NS"
"ENSMUSG00000052949.14","chr11",116336353,116413032,"protein_coding","Rnf157",484,580,349,316,125,518,540,58,340.126750790911,-0.159672238319754,0.54108790561233,-0.295094820386087,0.767921446374421,NA,0.895228432164091,359.045876256311,321.207625325511,"NS"
"ENSMUSG00000008429.8","chr9",25108132,25151820,"protein_coding","Herpud2",1125,1182,1266,699,1341,988,701,450,927.911485544436,0.0884266263472791,0.299740452540615,0.295010652041693,0.767985742506925,0.933125385011291,1.06321003487146,899.521811872102,956.30115921677,"NS"
"ENSMUSG00000020015.10","chr10",93160875,93267071,"protein_coding","Cdk17",710,597,693,624,734,778,92,613,588.421146927979,0.133983283801789,0.454638396060411,0.294702966055655,0.768220797173751,0.933125385011291,1.09731922310294,561.108458413453,615.733835442504,"NS"
"ENSMUSG00000051506.17","chr14",32959547,33185508,"protein_coding","Wdfy4",439,364,424,404,164,719,0,774,407.626478654544,0.415246282725977,1.40926657938465,0.294654176009263,0.768258071964311,0.933125385011291,1.33352630417311,349.359874194406,465.893083114681,"NS"
"ENSMUSG00000019763.11","chr10",4401915,4432388,"protein_coding","Rmnd1",591,724,535,634,111,824,726,180,501.168049083213,-0.136851237494778,0.464529952699762,-0.294601535809314,0.768298288809642,0.933125385011291,0.909502029640933,525.093409769975,477.242688396452,"NS"
"ENSMUSG00000051149.15","chr2",168180986,168207112,"protein_coding","Adnp",130,196,161,272,0,92,135,216,147.991503246187,-0.303362963705369,1.03050904555794,-0.294381660222227,0.768466279383193,NA,0.810361217671109,163.450398580909,132.532607911466,"NS"
"ENSMUSG00000039270.9","chr4",70427065,70534995,"protein_coding","Megf9",821,1548,622,227,687,716,460,614,668.387533762858,0.114422031249418,0.388696026781989,0.294374069621234,0.768472078990758,0.933173431116812,1.08254127376224,641.662273034378,695.112794491339,"NS"
"ENSMUSG00000028417.3","chr4",53779705,53788712,"protein_coding","Tal2",27,0,14,0,0,0,0,50,13.0273825313219,0.953389405224442,3.2389821150442,0.294348462375326,0.768491644332541,NA,1.93641665141462,8.8657222737714,17.1890427888723,"NS"
"ENSMUSG00000006345.10","chr10",75561604,75586200,"protein_coding","Ggt1",52,212,42,339,43,248,0,320,156.943192377928,0.332654015232214,1.13015879720693,0.294342720734762,0.768496031281404,NA,1.25932793376302,138.915818652483,174.970566103372,"NS"
"ENSMUSG00000018189.12","chr1",143777272,143807466,"protein_coding","Uchl5",88,274,113,192,120,315,0,24,124.115917853648,-0.332036507072108,1.12830112077092,-0.294280047196302,0.768543918008805,NA,0.79441429736742,138.399702375929,109.832133331366,"NS"
"ENSMUSG00000099583.2","chr13",23575763,23577011,"protein_coding","H3c4",0,75,14,0,0,40,0,0,12.4344617645993,-0.953208908825732,3.24085547117216,-0.2941226220375,0.768664205134255,NA,0.516482399418481,16.4143242557746,8.45459927342394,"NS"
"ENSMUSG00000055963.12","chr4",12906838,12983553,"protein_coding","Triqk",51,135,41,0,151,103,0,0,54.8501214716747,0.584453730620254,1.98819169953533,0.293962463859421,0.768786586250328,NA,1.49947111442042,43.8861918918775,65.8140510514719,"NS"
"ENSMUSG00000034484.8","chr18",53176316,53220865,"protein_coding","Snx2",821,813,418,626,333,662,409,501,543.977551437981,-0.0909058982849991,0.309583859727008,-0.293639010655013,0.769033762997462,0.933692406629123,0.93893298847904,561.026702374116,526.928400501846,"NS"
"ENSMUSG00000037010.7","chrX",48025146,48034853,"protein_coding","Apln",47,65,24,0,63,112,0,0,34.4405469353776,0.648542498232758,2.20949414540209,0.293525330031927,0.769120641130443,NA,1.56758372334883,26.8324685600587,42.0486253106965,"NS"
"ENSMUSG00000035095.11","chr14",63436394,63465498,"protein_coding","Fam167a",125,210,111,115,170,200,0,151,129.913720069055,0.308634430901277,1.05148185548918,0.293523306455624,0.769122187634255,NA,1.23853482172906,116.058184569729,143.769255568381,"NS"
"ENSMUSG00000059974.10","chr9",28994750,29963141,"protein_coding","Ntm",1,26,15,0,52,0,0,0,11.6810930153022,0.886600483110819,3.0236098845257,0.29322581846563,0.769349550707521,NA,1.84881450421332,8.1949025076569,15.1672835229475,"NS"
"ENSMUSG00000031982.5","chr8",124722139,124734123,"protein_coding","Arv1",44,148,108,215,121,128,0,73,99.3286681518228,-0.346578112450763,1.18218576648494,-0.293167218110959,0.76939433991908,NA,0.786447239413129,111.213514113154,87.4438221904919,"NS"
"ENSMUSG00000029561.17","chr5",114896936,114912234,"protein_coding","Oasl2",269,97,212,220,197,158,0,150,158.419775203745,-0.292440497308177,0.998314021690018,-0.292934378316266,0.76957231079185,NA,0.816519645537348,174.416084641221,142.42346576627,"NS"
"ENSMUSG00000020459.14","chr11",29526408,29545279,"protein_coding","Mtif2",523,756,698,502,358,219,906,188,498.81527022348,-0.132755422473518,0.453244448174114,-0.292900272707852,0.769598380400281,0.934205843657379,0.912087777033869,521.695002834609,475.935537612351,"NS"
"ENSMUSG00000047518.3","chr4",120532231,120536661,"protein_coding","Slfnl1",0,40,46,0,0,151,0,0,24.6900399669759,0.871044121822484,2.97431170210852,0.292855695388278,0.769632454756708,NA,1.82898611387472,17.4639676767764,31.9161122571754,"NS"
"ENSMUSG00000024800.8","chr19",36083716,36104777,"protein_coding","Rpp30",173,143,92,91,125,133,0,51,93.2165694631418,-0.345238004624067,1.17894305484877,-0.29283687893505,0.769646837956324,NA,0.787178103326392,104.328956536568,82.1041823897159,"NS"
"ENSMUSG00000041161.8","chr4",138895379,138913945,"protein_coding","Otud3",256,165,144,146,164,235,0,251,167.215130451264,0.286712900097753,0.979371874616321,0.292751821375385,0.769711856504204,NA,1.21985773139294,150.635216567881,183.795044334647,"NS"
"ENSMUSG00000006299.13","chr1",74279840,74284738,"protein_coding","Aamp",769,1455,1095,477,504,777,1095,605,807.535927110426,0.0946444384214167,0.323369030124107,0.292682445146626,0.76976488934031,0.934205843657379,1.06780220881443,780.890463980547,834.181390240305,"NS"
"ENSMUSG00000038253.6","chr6",52201754,52204587,"protein_coding","Hoxa5",71,12,62,162,274,80,0,0,83.3290284382925,0.472268930204816,1.61396141554134,0.292614758727928,0.769816631483323,NA,1.38728954719583,69.8289413049753,96.8291155716097,"NS"
"ENSMUSG00000073733.4","chr4",141213956,141226756,"protein_coding","Cplane2",51,77,89,50,106,40,0,0,47.9034143062911,-0.51890238216526,1.77417478053444,-0.29247534564151,0.769923207522525,NA,0.697902603015065,56.4343052346883,39.3725233778938,"NS"
"ENSMUSG00000037257.8","chr9",63602660,63644588,"protein_coding","Aagab",961,709,651,391,566,475,590,500,587.90981824566,0.0931827014195388,0.318852725933667,0.29224370325416,0.770100298987104,0.934205843657379,1.06672086071357,568.737719146948,607.081917344372,"NS"
"ENSMUSG00000087260.5","chr3",107278858,107284082,"protein_coding","Lamtor5",108,101,129,188,57,121,266,47,124.794671963471,0.234244592229959,0.801852901941555,0.292129131992631,0.770187893573454,NA,1.17629065984026,114.720604590057,134.868739336885,"NS"
"ENSMUSG00000030382.15","chr7",12988346,12998192,"protein_coding","Slc27a5",0,57,25,0,80,19,0,0,21.5354419125616,0.798047461856335,2.73183716566163,0.292128488435384,0.770188385608532,NA,1.73874632060585,15.7206668272507,27.3502169978725,"NS"
"ENSMUSG00000016344.14","chr2",181187247,181188771,"protein_coding","Ppdpf",405,270,265,510,199,591,299,216,329.089373670802,0.125650175936655,0.430153354563655,0.292105535394729,0.770205934536984,NA,1.09099929994526,314.959283821642,343.219463519962,"NS"
"ENSMUSG00000037493.6","chr9",54544794,54560218,"protein_coding","Cib2",918,218,586,353,361,727,285,0,395.03912307249,-0.397371085529197,1.36058472544633,-0.292059052330492,0.770241473891144,0.934205843657379,0.759240530302551,449.144740837887,340.933505307092,"NS"
"ENSMUSG00000019189.13","chr11",44518964,44565520,"protein_coding","Rnf145",918,1838,990,1021,1043,1108,893,693,1009.87847646121,0.0670659069960858,0.229644548968586,0.292042233518288,0.770254333096079,0.934205843657379,1.04758398304612,986.248042036482,1033.50891088593,"NS"
"ENSMUSG00000051166.10","chr12",98786805,98901484,"protein_coding","Eml5",1064,973,789,1351,890,1291,701,615,921.595203627801,0.0757630885438791,0.259473215577211,0.291988089696813,0.770295730413689,0.934205843657379,1.05391834039818,897.668834048007,945.521573207594,"NS"
"ENSMUSG00000078902.3","chr2",175166255,175175871,"protein_coding","Gm14443",107,206,89,116,0,257,0,73,93.1168562206097,-0.426641007178544,1.46239368476615,-0.291741554700961,0.770484234571167,NA,0.743991989329641,106.816909637717,79.4168028035024,"NS"
"ENSMUSG00000027635.15","chr2",156995265,157007154,"protein_coding","Dsn1",31,143,99,127,107,32,118,88,93.3468579917455,0.272429733765489,0.934114890299276,0.291644782236805,0.770558231877182,NA,1.2078403157911,84.527103521171,102.16661246232,"NS"
"ENSMUSG00000041974.10","chr16",15889224,16146851,"protein_coding","Spidr",194,351,243,198,341,159,94,61,193.140301418553,-0.180485699906763,0.61899532517467,-0.291578453933935,0.770608951185681,NA,0.882405874174956,205.203120887222,181.077481949885,"NS"
"ENSMUSG00000021044.15","chr12",88360554,88461724,"protein_coding","Adck1",536,300,479,190,137,260,254,546,337.759637939753,0.151913378486245,0.521072220886023,0.291539967776316,0.770638380871742,NA,1.11104201806971,319.841462667945,355.67781321156,"NS"
"ENSMUSG00000053347.15","chr17",21962552,22071168,"protein_coding","Zfp943",182,213,150,35,42,44,251,5,106.896055000444,-0.309931741970901,1.06309281385213,-0.291537801716352,0.770640037229416,NA,0.80667992465394,118.326933117827,95.4651768830611,"NS"
"ENSMUSG00000022946.10","chr16",93711904,93810590,"protein_coding","Dop1b",1517,2112,1658,1790,1624,2393,625,1223,1537.77099839876,0.078963096517238,0.270863313089885,0.291523778604283,0.770650760544782,0.934205843657379,1.05625860639171,1495.84546998138,1579.69652681614,"NS"
"ENSMUSG00000026499.5","chr1",180726043,180754204,"protein_coding","Acbd3",1148,1307,738,771,644,959,624,631,805.633874169398,-0.0673885425787038,0.231244019174608,-0.291417450791754,0.770732069647942,0.934205843657379,0.954363952904911,824.31946312822,786.948285210576,"NS"
"ENSMUSG00000027651.16","chr2",158028497,158132297,"protein_coding","Rprd1b",754,787,649,579,373,641,549,628,600.677721078392,0.0827367093439693,0.283957242737255,0.291370308242235,0.770768120461494,0.934205843657379,1.05902504584877,583.269870026751,618.085572130033,"NS"
"ENSMUSG00000079197.10","chr14",55587441,55591113,"protein_coding","Psme2",320,641,704,210,488,628,43,172,368.341723079549,-0.170108215676839,0.583823229269272,-0.291369385712436,0.770768825942699,NA,0.888776012118534,390.108617831526,346.574828327572,"NS"
"ENSMUSG00000021484.8","chr13",55343833,55362783,"protein_coding","Lman2",2284,2171,2225,1608,1817,2480,672,1200,1706.44845635,-0.0782946842185642,0.268821810114007,-0.291251235103876,0.770859180183437,0.934205843657379,0.947176580990656,1752.90591642027,1659.99099627973,"NS"
"ENSMUSG00000035235.13","chr14",61598247,61605946,"protein_coding","Trim13",109,115,197,38,89,232,0,138,109.688484785005,0.337054372209776,1.15743949641929,0.291206903905132,0.770893082730683,NA,1.26317486741226,96.93914658028,122.43782298973,"NS"
"ENSMUSG00000093661.1","chr6",99625135,99666771,"protein_coding","Eif4e3",382,414,246,315,205,191,325,197,273.015666237293,-0.124203169462417,0.426553061744798,-0.291178708117505,0.770914645854264,NA,0.917510663544172,284.661186157346,261.370146317241,"NS"
"ENSMUSG00000037253.8","chr18",73573044,73592575,"protein_coding","Mex3c",474,447,619,200,189,503,393,362,382.842278238623,0.121169254573535,0.416171354381191,0.291152318144777,0.770934828115993,0.934205843657379,1.08761598066144,366.752552559605,398.932003917642,"NS"
"ENSMUSG00000021208.9","chr12",103450898,103457223,"protein_coding","Ifi27l2b",17,0,0,32,20,0,0,0,8.53414165883258,-0.945421254959279,3.24765719797978,-0.291108696923857,0.770968188660896,NA,0.519277904678507,11.2347127319161,5.83357058574904,"NS"
"ENSMUSG00000027466.15","chr2",152316334,152332653,"protein_coding","Rbck1",1209,1619,1103,1202,588,1221,941,955,1053.17272732714,-0.0678603033225453,0.233320864565253,-0.290845413456655,0.771169551025755,0.934327416997395,0.954051927264824,1077.78909552737,1028.55635912691,"NS"
"ENSMUSG00000053153.14","chr1",69826970,70725132,"protein_coding","Spag16",128,84,144,118,234,157,93,0,115.397188475359,0.321887697215456,1.10737081039044,0.290677426382555,0.77129803762093,NA,1.24996499857457,102.607492132054,128.186884818664,"NS"
"ENSMUSG00000018740.14","chr11",68968131,68974365,"protein_coding","Slc25a35",147,470,220,455,130,653,110,0,240.040561436615,-0.391853252090606,1.34929906219155,-0.29041245419244,0.771500717004869,NA,0.762149935517873,272.502024476749,207.57909839648,"NS"
"ENSMUSG00000029913.14","chr6",65778988,65937010,"protein_coding","Prdm5",183,635,175,451,148,152,548,294,316.05831637053,0.162874590278701,0.560844491735956,0.290409538969639,0.771502946969274,NA,1.1195155678527,298.126643979346,333.989988761714,"NS"
"ENSMUSG00000028539.14","chr4",117926162,117929763,"protein_coding","Artn",59,82,100,0,40,98,0,0,40.9644167170606,-0.612016009243626,2.11145910450216,-0.289854540842707,0.771927520443169,NA,0.654281775278026,49.5479240427345,32.3809093913867,"NS"
"ENSMUSG00000022325.14","chr15",34495304,34530648,"protein_coding","Pop1",134,64,78,157,106,184,0,0,82.2748146217469,-0.438980470664437,1.51663194508964,-0.289444299314486,0.772241399055781,NA,0.737655713900802,94.7405484812738,69.80908076222,"NS"
"ENSMUSG00000021224.15","chr12",83794034,83921934,"protein_coding","Numb",1067,1279,962,1057,783,798,1326,565,946.958406429902,0.0782281332362797,0.270276708005061,0.289437198690517,0.772246832120268,0.935469589980851,1.05572064544962,921.226614014873,972.690198844931,"NS"
"ENSMUSG00000091002.2","chr7",138208974,138397730,"protein_coding","Tcerg1l",25,0,0,32,0,114,0,0,18.5097992076251,0.901258867708138,3.11653557506525,0.289186131844257,0.772438943873071,NA,1.86769498666871,12.923990485992,24.0956079292582,"NS"
"ENSMUSG00000031380.10","chrX",164373378,164402650,"protein_coding","Vegfd",230,382,311,183,77,171,215,250,218.228362021126,-0.158298704819347,0.547690425928153,-0.289029527129461,0.772558781997406,NA,0.896081149982167,230.067900204779,206.388823837474,"NS"
"ENSMUSG00000030359.14","chr6",128483567,128526720,"protein_coding","Pzp",77,75,32,34,51,87,93,0,52.4395623363506,0.420281580323011,1.4545657840886,0.288939548090877,0.772627638822774,NA,1.33818871243176,44.8649594421326,60.0141652305687,"NS"
"ENSMUSG00000027371.10","chr2",127436215,127444565,"protein_coding","Fahd2a",149,287,272,252,206,224,216,0,186.705119354498,-0.264971389324176,0.917247561437409,-0.288876635342526,0.772675784122884,NA,0.832215238548883,203.850122169148,169.560116539848,"NS"
"ENSMUSG00000042622.14","chr15",79346621,79359076,"protein_coding","Maff",293,470,124,455,80,269,415,336,298.350890289237,0.161174827266744,0.558551916188398,0.288558364219056,0.772919361181563,NA,1.11819734705886,281.632533062816,315.069247515659,"NS"
"ENSMUSG00000035759.4","chr10",111298679,111301727,"protein_coding","Bbs10",21,52,58,80,0,0,103,0,37.7346416404634,-0.629803853479864,2.18266615851541,-0.288547953622115,0.772927328925702,NA,0.646264274407534,45.8431531500366,29.6261301308903,"NS"
"ENSMUSG00000035521.13","chr17",25233331,25240124,"protein_coding","Gnptg",186,251,168,388,238,365,0,0,180.427487987683,-0.547531452727518,1.89771288503574,-0.288521755342988,0.772947379868853,NA,0.684189821719912,214.28726763496,146.567708340407,"NS"
"ENSMUSG00000044296.10","chr11",50832031,50841552,"protein_coding","Zfp879",38,26,51,30,0,0,0,57,25.4537799848638,-0.679331081274564,2.35581280002598,-0.288363778848248,0.773068290935135,NA,0.624454741479864,31.3120511904132,19.5955087793145,"NS"
"ENSMUSG00000047635.6","chr5",124328089,124341844,"protein_coding","2810006K23Rik",117,157,113,73,164,19,0,64,84.6384107626086,-0.370740169503789,1.28612862304268,-0.288260569636265,0.773147287534418,NA,0.773385612262007,95.4236332974421,73.853188227775,"NS"
"ENSMUSG00000026725.17","chr1",160085029,160153580,"protein_coding","Tnn",13,196,29,91,112,64,0,0,55.9310920374329,-0.507042405973436,1.75915016733784,-0.288231451406309,0.773169575128468,NA,0.703663504168565,65.6668299571928,46.1953541176729,"NS"
"ENSMUSG00000010760.5","chr7",143501545,143503150,"protein_coding","Phlda2",0,31,37,0,88,0,0,0,19.7537125242053,0.890647074525963,3.09026428115223,0.288210649153243,0.773185497645323,NA,1.85400749284114,13.8397144711148,25.6677105772958,"NS"
"ENSMUSG00000035964.8","chr8",70483867,70487358,"protein_coding","Tmem59l",0,0,37,0,46,12,0,0,12.1583376571004,0.932827186200212,3.23985239024227,0.287922742718059,0.77340587756907,NA,1.90901334265991,8.36308318495092,15.95359212925,"NS"
"ENSMUSG00000039182.6","chr13",14630154,14639096,"protein_coding","AW209491",110,179,98,46,63,218,0,0,76.2222822161791,-0.447403361310971,1.55434376619017,-0.287840676588292,0.773468698988593,NA,0.733361603759511,87.9912510470883,64.45331338527,"NS"
"ENSMUSG00000042258.13","chr13",116298281,116309689,"protein_coding","Isl1",160,371,168,161,115,230,0,381,194.451379835649,0.277270909048738,0.963486194083676,0.287778808613274,0.773516059751666,NA,1.21190020949647,175.765276929847,213.137482741452,"NS"
"ENSMUSG00000015222.18","chr1",66175273,66442583,"protein_coding","Map2",383,145,70,233,188,306,117,141,189.808596192249,0.180780201585033,0.628310066006217,0.287724503180639,0.773557631982235,NA,1.13349670839364,177.977861002104,201.639331382394,"NS"
"ENSMUSG00000049792.6","chr12",111709488,111713257,"protein_coding","Bag5",164,299,197,143,144,165,211,18,154.949971705176,-0.208188610871141,0.724110860932817,-0.287509305692429,0.773722377680122,NA,0.865623390766889,166.144535867471,143.755407542881,"NS"
"ENSMUSG00000014361.5","chr2",128698956,128802894,"protein_coding","Mertk",447,1042,369,750,131,905,440,687,566.644586569577,0.130153245821198,0.452758412649715,0.287467316310019,0.773754524086553,0.937095747576985,1.09440994540031,541.058303520314,592.23086961884,"NS"
"ENSMUSG00000030278.11","chr6",113424634,113435760,"protein_coding","Cidec",552,1130,925,532,433,824,291,655,630.853194500311,-0.0989398903919698,0.344341093210346,-0.287331057323242,0.773858844482087,0.937095747576985,0.933718847318884,652.367371824345,609.339017176277,"NS"
"ENSMUSG00000018654.17","chr11",11685003,11772926,"protein_coding","Ikzf1",96,19,223,255,50,320,201,59,147.635735013663,0.250385171483855,0.871631928595238,0.287260210726089,0.773913086518781,NA,1.18952465253255,134.953580279751,160.317889747575,"NS"
"ENSMUSG00000034112.9","chr8",119700009,119757717,"protein_coding","Atp2c2",222,403,170,162,284,108,92,119,184.118828868627,-0.175256288191063,0.610484881948397,-0.28707719613256,0.774053212461586,NA,0.885610180519963,195.201441058013,173.036216679241,"NS"
"ENSMUSG00000008136.14","chr1",43123074,43196984,"protein_coding","Fhl2",211,205,204,71,228,176,95,95,153.765319044986,0.186217339402974,0.648765298118799,0.287033446367957,0.774086710755206,NA,1.13777661895557,143.843443830562,163.687194259409,"NS"
"ENSMUSG00000079056.12","chr2",127456498,127522094,"protein_coding","Kcnip3",264,238,350,395,117,856,0,416,314.669196795949,0.400681784028331,1.39594668066258,0.287032298281013,0.774087589827396,NA,1.32013162680184,271.270745210576,358.067648381322,"NS"
"ENSMUSG00000039887.11","chr3",121291773,121363094,"protein_coding","Alg14",159,341,100,113,0,149,202,250,159.478495824457,0.290632776943906,1.01259070264621,0.287019005985728,0.774097767550785,NA,1.22317665457529,143.416664474738,175.540327174175,"NS"
"ENSMUSG00000018830.10","chr16",14194535,14291372,"protein_coding","Myh11",3889,5636,4089,4848,6018,1865,3963,2482,4021.00298563138,0.0871893234891798,0.303878758231355,0.286921415621947,0.77417249230753,0.937312289537086,1.06229858177481,3899.33787763701,4142.66809362575,"NS"
"ENSMUSG00000033579.16","chr8",111345135,111393824,"protein_coding","Fa2h",0,28,54,16,0,167,0,0,28.1363331467019,0.752875172712673,2.62474892403292,0.286837024988997,0.774237111742405,NA,1.68514784750139,20.9747143268589,35.297951966545,"NS"
"ENSMUSG00000052921.13","chr11",68943155,68957480,"protein_coding","Arhgef15",514,1362,1027,894,839,1170,1,380,708.904198534898,-0.351537069118608,1.22618892114547,-0.286690788879589,0.77434909108135,0.93736285585888,0.783748635267609,794.868724723176,622.93967234662,"NS"
"ENSMUSG00000051497.15","chr11",110968033,111027968,"protein_coding","Kcnj16",275,261,378,181,82,681,0,70,212.390780018952,-0.277367182755705,0.967564656764199,-0.286665269154515,0.774368633124169,NA,0.825095385364637,232.859708101868,191.921851936035,"NS"
"ENSMUSG00000022620.14","chr15",89472476,89477425,"protein_coding","Arsa",248,607,277,646,516,279,330,108,359.035516730727,-0.140622218180232,0.491027503309597,-0.28638358795061,0.774584343459833,NA,0.907127836881959,376.547080641638,341.523952819817,"NS"
"ENSMUSG00000004347.17","chr6",56069804,56652487,"protein_coding","Pde1c",193,381,311,352,114,501,165,147,249.796898425435,-0.144399184791388,0.504319574036701,-0.286324767519095,0.774629390107107,NA,0.904756087834408,262.453468137483,237.140328713387,"NS"
"ENSMUSG00000078920.3","chr11",49076587,49096974,"protein_coding","Ifi47",0,0,45,37,44,91,0,0,25.5394571936868,0.756251496623262,2.64275389636209,0.286160394149561,0.774755276734899,NA,1.68909619948619,19.0108457516862,32.0680686356874,"NS"
"ENSMUSG00000020124.10","chr10",123105006,123196995,"protein_coding","Usp15",3031,2658,2786,1748,1839,1540,2845,1064,2101.4616628704,-0.0762913227128621,0.266614999345964,-0.286147902031067,0.774764844163485,0.937398171917486,0.948492767115112,2156.92762506557,2045.99570067523,"NS"
"ENSMUSG00000013833.15","chr10",79894708,79908923,"protein_coding","Med16",508,1007,502,710,360,605,522,649,587.199668332643,0.0920426944374123,0.321830031309126,0.285997841975794,0.774879774409151,0.937398171917486,1.06587827870087,568.261399737677,606.137936927609,"NS"
"ENSMUSG00000025019.17","chr19",41482637,41586536,"protein_coding","Lcor",1644,1807,1570,1869,1121,1079,1571,1150,1435.00780195645,-0.0663492017731082,0.231994079914976,-0.285995236591488,0.774881769903528,0.937398171917486,0.9550517398253,1467.76278045807,1402.25282345483,"NS"
"ENSMUSG00000030516.14","chr7",65296165,65527781,"protein_coding","Tjp1",2759,3464,2422,2286,2582,2356,2234,1398,2331.2037918457,0.0531733435490101,0.185954312012123,0.285948429878536,0.774917619966886,0.937398171917486,1.03754459274899,2288.14145921385,2374.26612447756,"NS"
